,LEA CODE,LEA,Total Teachers,Leaving,Attrition Rate,ADM,Reduced,Free,Needy Perc,S:T Ratio,Total dropouts,Dropout Rate,Total #Acts committed,Acts per 1000 students,Total Expenditures (TOTALEXP) per Pupil (V33),Total Current Expenditures (TCURELSC) per Pupil (V33),Instructional Expenditures (E13) per Pupil (V33),American Indian/Alaska Native Students,Nat Amr Perc,Asian or Asian/Pacific Islander Students,Asian Perc,Hispanic Students,Hisp Perc,Black Students,Black Perc,White Students,White Perc,Hawaiian Nat./Pacific Isl. Students,Hawaiian Perc,Two or More Races Students,2 Plus perc,Total Revenue (TOTALREV) per Pupil (V33),Total Revenue - Federal Sources (TFEDREV) per Pupil (V33),Total Revenue - State Sources (TSTREV) per Pupil (V33),Total Revenue - Local Sources (TLOCREV) per Pupil (V33),Urban-centric Locale,Urban centric local number,groups
62,550,Lincoln,339,35,10.32,11571,838,4829,48.98,14.67,89,3.01,67,5.79,7928,7478,4471,23,0.19877279399999997,80,0.6913836309999999,1254,10.83743842,719,6.213810388,9475,81.88574885,4,0.034569182000000004,305,2.635900095,7769,871,4964,1934,41-Rural: Fringe,41,2
63,560,Macon,184,24,13.04,4272,418,2461,67.39,13.19,93,2.46,42,9.83,9983,8991,5412,18,0.421348315,28,0.655430712,617,14.4428839,35,0.81928839,3681,86.16573034,4,0.093632959,132,3.08988764,9010,1164,5775,2071,41-Rural: Fringe,41,3
64,570,Madison,272,41,15.07,2565,246,1358,62.53,13.43,12,0.9,20,7.8,9736,8810,5193,14,0.545808967,9,0.350877193,92,3.586744639,9,0.350877193,2447,95.39961014,1,0.038986355,29,1.130604288,9628,1164,6823,1642,42-Rural: Distant,42,3
65,580,Martin,451,58,12.86,3450,268,2238,72.64,13.32,20,2.35,5,1.45,10136,9790,5842,5,0.144927536,23,0.666666667,205,5.942028986,1846,53.50724638,1461,42.34782609,0,0.0,83,2.405797101,10187,1381,6809,1997,42-Rural: Distant,42,3
66,590,McDowell,8309,1329,15.99,6322,573,3960,71.7,14.4,35,3.67,16,2.53,9537,8852,5693,25,0.39544448,60,0.9490667509999999,733,11.59443214,203,3.211009174,5328,84.27712749,1,0.015817779,270,4.27080038,9105,1171,6110,1823,41-Rural: Fringe,41,3
67,610,Mitchell,157,14,8.92,1980,251,919,59.09,13.38,84,4.24,1,0.51,10205,9846,5727,2,0.10101010099999999,11,0.5555555560000001,148,7.474747475,3,0.151515152,1861,93.98989899,1,0.050505050999999995,18,0.9090909090000001,10021,1056,7368,1597,42-Rural: Distant,42,2
68,620,Montgomery,284,49,17.25,4131,361,2894,78.79,14.6,1232,3.02,40,9.68,9150,9024,5557,4,0.096828855,86,2.081820382,1369,33.13967562,855,20.69716776,1874,45.36431857,10,0.242072137,78,1.888162672,9240,1411,6081,1747,41-Rural: Fringe,41,3
69,630,Moore,806,117,14.52,12609,627,5302,47.02,15.14,24,3.61,96,7.61,8811,8620,5278,144,1.142041399,130,1.0310095959999999,1515,12.01522722,2310,18.32024744,8451,67.0235546,11,0.087239274,351,2.78372591,8531,995,5151,2386,42-Rural: Distant,42,3
70,491,Mooresville Graded,325,40,12.31,21199,1433,8005,44.52,59.88,27,2.21,39,6.79,8332,7766,4838,5,0.023586017999999997,136,0.641539695,466,2.198216897,850,4.009623095,4208,19.84999292,10,0.047172035999999994,198,0.9340063209999999,8467,582,4989,2896,21-Suburb: Large,21,3
71,862,Mount Airy City,116,12,10.34,1678,74,999,63.95,13.98,111,2.73,10,5.96,9234,9117,5574,1,0.059594756,26,1.5494636469999998,289,17.22288439,174,10.36948749,1194,71.15613826,0,0.0,59,3.5160905839999996,9571,1458,5903,2210,32-Town: Distant,32,2
72,640,Nash-Rocky Mount,1069,222,20.77,16452,1283,10027,68.75,17.37,200,3.79,90,5.56,9530,9312,6040,80,0.48626306799999996,136,0.8266472159999999,1762,10.70994408,8351,50.75978604,5758,34.99878434,12,0.07293946,671,4.078531486,9195,1265,5869,2062,41-Rural: Fringe,41,4
73,650,New Hanover,1597,165,10.33,25385,1509,11510,51.29,15.06,177,2.29,150,5.98,8858,8589,5148,124,0.488477447,400,1.5757337009999999,2551,10.04924168,5710,22.49359858,16057,63.25389009,39,0.153634036,955,3.762064211,8931,958,5214,2759,12-City: Mid-size,12,2
74,182,Newton Conover,199,38,19.1,2952,222,1873,70.97,14.4,16,2.17,14,4.74,9701,8555,5569,2,0.067750678,149,5.047425474,708,23.98373984,441,14.93902439,1542,52.23577236,2,0.067750678,181,6.131436314,9677,1155,5359,3163,22-Suburb: Mid-size,22,4
75,660,Northampton,171,60,35.09,2085,150,1726,89.98,13.45,162,2.32,19,9.11,11476,10984,6025,9,0.431654676,3,0.143884892,69,3.3093525180000003,1801,86.37889688,342,16.4028777,0,0.0,42,2.014388489,11354,1839,7595,1921,42-Rural: Distant,42,6
76,670,Onslow,1483,231,15.58,24994,2441,8716,44.64,15.73,54,2.28,84,3.41,7996,7743,4838,158,0.632151716,281,1.124269825,2918,11.67480195,4909,19.64071377,15412,61.66279907,96,0.384092182,1759,7.037689045,8123,1331,4815,1977,13-City: Small,13,3
77,680,Orange,534,78,14.61,7361,350,2732,41.87,13.17,23,0.6,43,5.84,10299,9921,6057,31,0.421138432,54,0.7335959790000001,1201,16.31571797,1243,16.88629262,4787,65.03192501,3,0.040755332000000005,247,3.355522348,10136,817,5440,3879,21-Suburb: Large,21,3
78,690,Pamlico,111,26,23.42,1271,120,696,64.2,12.22,14,2.78,15,11.8,11961,11402,6101,9,0.708103855,3,0.236034618,64,5.035405193,313,24.62627852,893,70.25963808,0,0.0,48,3.776553895,12296,1307,8112,2877,42-Rural: Distant,42,5
79,700,Pasquotank-Elizabeth City,439,76,17.31,5691,445,3208,64.19,10.7,23,1.37,43,7.56,9214,8761,5052,19,0.33386048100000004,47,0.825865402,319,5.605341768,2628,46.17817607,2763,48.55034265,8,0.140572834,213,3.742751713,8873,1140,5848,1886,41-Rural: Fringe,41,3
